fb_code;Class;Order;Family;Genus;Species;Name;Home_range;Diel_activity;Size_group;Level_water;TempOccurrence_min;TempOccurrence_mean;TempOccurrence_max;Body_size_max;Size_class;Body_shape;Aspect_ratio;Nphoto;Caudal_fin;Mouth_position;Trophic_level;Diet;Spawning;Depth_min;Depth_max;Depth_range;Allometric_a;Allometric_b;Level_length_weight;PLD;PLD_level;Life_span;Geographic_range_index;Range_extension;Lat_Max_South;Lat_Max_North;Province_2;Province_3;Province_4;Province_6;Province_7;Province_10;Province_11;Province_12;Province_13;Province_14;Province_15;Province_16;Province_17;Province_43;Province_44;Province_45;Province_46;Province_47;Province_48;Province_50;Total_OcuProv;AT;EP;IUCN_status;Vulnerability;Price_category
972;actinopterygii;beloniformes;belonidae;ablennes;hians;Ablennes hians;vmob;both;largeg;high;23,45;25,98;28,61;140;s6;elongated;1,98231;1;forked;elongated;4,5;fc;demersal;0;3;3;0,00074;3,13;species;NA;;NA;335;native;-12;34,7;0;0;0;1;0;0;1;1;0;0;0;1;1;1;1;1;0;0;0;0;8;1;1;lc;39,61;high
11793;actinopterygii;perciformes;pomacentridae;abudefduf;concolor;Abudefduf concolor;mob;day;smallg;low;24,31;25,75;27,26;19;s3;compressed;1,75538;1;forked;terminal;2,7;om;demersal;1;5;4;0,021276044;3,151969035;species;20,85;species;NA;19;native;-12;13,07;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;3;0;1;lc;28,6;not_targeted
55868;actinopterygii;perciformes;pomacentridae;abudefduf;declivifrons;Abudefduf declivifrons;mob;day;smallg;low;22,78;25,48;28,54;18;s3;compressed;3,01405;1;forked;terminal;2,7;om;demersal;1;5;4;0,021276044;3,151969035;species;21,9;species;NA;19;native;9,6;30,3;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1;lc;33,49;not_targeted
11811;actinopterygii;perciformes;pomacentridae;abudefduf;hoefleri;Abudefduf hoefleri;mob;day;smallg;low;23,5;25,5;27,88;20;s3;compressed;1,63281;1;forked;terminal;2,7;om;demersal;0;20;20;0,021276044;3,151969035;genus;23,5;genus;NA;8;native;0,19;15,63;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;1;0;dd;29,33;not_targeted
1119;actinopterygii;perciformes;pomacentridae;abudefduf;saxatilis;Abudefduf saxatilis;mob;day;smallg;low;22,18;24,88;27,81;23;s3;compressed;1,53883;1;forked;terminal;3,8;om;demersal;0;40;40;0,02274279;3,142;species;24,45;species;NA;89;native;-35,3;34,7;0;1;0;1;0;0;0;1;1;1;1;1;1;0;0;1;0;1;0;0;10;1;1;lc;31,15;not_targeted
1120;actinopterygii;perciformes;pomacentridae;abudefduf;taurus;Abudefduf taurus;mob;day;smallg;low;23,73;26,44;29,24;25;s3;compressed;1,45573;1;forked;terminal;2,1;hd;demersal;1;5;4;0,021276044;3,151969035;genus;18,1;species;NA;48;native;0,19;34,7;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;4;1;0;lc;32,37;not_targeted
8245;actinopterygii;perciformes;pomacentridae;abudefduf;troschelii;Abudefduf troschelii;mob;day;smallg;low;22,89;24,86;27,08;20;s3;compressed;2,45235;1;forked;terminal;3;pk;demersal;1;20;19;0,021276044;3,151969035;species;21,13;species;NA;34;native;-12;37,4;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;5;0;1;lc;29,33;not_targeted
6630;actinopterygii;perciformes;pomacentridae;abudefduf;vaigiensis;Abudefduf vaigiensis;mob;day;smallg;low;14,02;19;25,4;20;s3;compressed;2,126814444;9;forked;terminal;2,6;pk;demersal;1;15;14;0,03;2,8;species;20,7;species;NA;298;lessepsian;32,9;42,73;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;lc;16;not_targeted
3708;actinopterygii;perciformes;chaenopsidae;acanthemblemaria;aspera;Acanthemblemaria aspera;sed;day;sol;bottom;24,98;27,22;29,54;4;s1;elongated;NA;NA;rounded;subterminal;3,1;pk;demersal;0;12;12;0,007705413;2,962;genus;52,3;species;4;28;native;11,8;27;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;lc;21,24;not_targeted
60573;actinopterygii;perciformes;chaenopsidae;acanthemblemaria;atrata;Acanthemblemaria atrata;sed;day;sol;bottom;26;27,44;29;3,2;s1;elongated;NA;NA;rounded;subterminal;3,3;pk;demersal;5;31;26;0,007705413;2,962;species;55,2;genus;NA;1;native;5,53;5,53;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;vu;10;not_targeted
46703;actinopterygii;perciformes;chaenopsidae;acanthemblemaria;balanorum;Acanthemblemaria balanorum;sed;day;sol;bottom;24,84;26,97;29,2;5,2;s1;elongated;NA;NA;rounded;subterminal;3,4;pk;demersal;1;5;4;0,007705413;2,962;genus;51,6;genus;NA;8;native;2,8;23,79;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1;lc;10;not_targeted
25510;actinopterygii;perciformes;chaenopsidae;acanthemblemaria;castroi;Acanthemblemaria castroi;sed;day;sol;bottom;20,26;23;25,66;6;s1;elongated;NA;NA;rounded;subterminal;3,4;pk;demersal;1;23;22;0,007705413;2,962;genus;59,7;genus;NA;3;native;-0,63;-0,63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;vu;10;not_targeted
3709;actinopterygii;perciformes;chaenopsidae;acanthemblemaria;chaplini;Acanthemblemaria chaplini;sed;day;sol;bottom;24,21;26,97;29,8;4,5;s1;elongated;NA;NA;truncated;subterminal;3,3;pk;demersal;2;12;10;0,007705413;2,962;genus;52,3;genus;NA;21;native;11,8;27;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;lc;10;not_targeted
46704;actinopterygii;perciformes;chaenopsidae;acanthemblemaria;crockeri;Acanthemblemaria crockeri;sed;day;sol;bottom;15,45;20;24,71;6;s1;elongated;0,996735;1;rounded;subterminal;3,4;pk;demersal;1;60;59;0,007705413;2,962;genus;47,4;genus;NA;9;native;28,75;30,3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;lc;10;not_targeted
46709;actinopterygii;perciformes;chaenopsidae;acanthemblemaria;exilispinus;Acanthemblemaria exilispinus;sed;day;sol;bottom;26,01;27,2;28,33;5,5;s1;elongated;1,20158;1;rounded;subterminal;3,4;pk;demersal;1;5;4;0,007705413;2,962;genus;19,5;genus;NA;10;native;-1,29;13,07;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;lc;10;not_targeted
47265;actinopterygii;perciformes;chaenopsidae;acanthemblemaria;greenfieldi;Acanthemblemaria greenfieldi;sed;day;sol;bottom;24,83;27,21;29,78;3,6;s1;elongated;NA;NA;rounded;terminal;3,3;pk;demersal;0;12;12;0,007705413;2,962;genus;16,95;genus;NA;9;native;11,8;27;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;lc;10;not_targeted
46714;actinopterygii;perciformes;chaenopsidae;acanthemblemaria;hancocki;Acanthemblemaria hancocki;sed;day;sol;bottom;26,03;27,18;28,29;4,5;s1;elongated;1,77162;1;rounded;subterminal;3,4;pk;demersal;1;5;4;0,007705413;2,962;species;54;genus;NA;10;native;-1,29;13,07;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;lc;10;not_targeted
60576;actinopterygii;perciformes;chaenopsidae;acanthemblemaria;harpeza;Acanthemblemaria harpeza;sed;day;sol;bottom;26;28;29,5;3,3;s1;elongated;NA;NA;rounded;subterminal;3,3;pk;demersal;0;12;12;0,007705413;2,962;genus;19,5;genus;NA;3;native;18,3;18,39;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;dd;10;not_targeted
55035;actinopterygii;perciformes;chaenopsidae;acanthemblemaria;johnsoni;Acanthemblemaria johnsoni;sed;day;sol;bottom;26,36;28;29,33;2;s1;elongated;NA;NA;rounded;subterminal;3,1;pk;demersal;0;12;12;0,007705413;2,962;genus;20,1;genus;NA;7;native;10,53;14,6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;lc;10;not_targeted
46717;actinopterygii;perciformes;chaenopsidae;acanthemblemaria;macrospilus;Acanthemblemaria macrospilus;sed;day;sol;bottom;18,56;22,8;27,49;6;s1;elongated;1,84211;1;rounded;subterminal;3,4;pk;demersal;2;15;13;0,007705413;2,962;genus;19,7;genus;NA;13;native;21,58;30,3;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1;lc;10;not_targeted
60574;actinopterygii;perciformes;chaenopsidae;acanthemblemaria;mangognatha;Acanthemblemaria mangognatha;sed;day;sol;bottom;24;25,32;28;4;s1;elongated;NA;NA;rounded;subterminal;3,3;pk;demersal;1;10;9;0,007705413;2,962;genus;21,3;genus;NA;1;native;18,77;18,77;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;vu;10;not_targeted
16485;actinopterygii;perciformes;chaenopsidae;acanthemblemaria;maria;Acanthemblemaria maria;sed;day;sol;bottom;25,55;27,44;29,5;5,1;s1;elongated;NA;NA;truncated;subterminal;3,4;pk;demersal;0;12;12;0,007705413;2,962;genus;20,7;genus;NA;23;native;10,53;27;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;lc;10;not_targeted
27905;actinopterygii;perciformes;chaenopsidae;acanthemblemaria;medusa;Acanthemblemaria medusa;sed;day;sol;bottom;26,01;27,69;29,37;4;s1;elongated;NA;NA;rounded;subterminal;3,3;pk;demersal;0;12;12;0,007705413;2,962;genus;26,8;genus;NA;13;native;10,53;21,3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;lc;10;not_targeted
54806;actinopterygii;perciformes;chaenopsidae;acanthemblemaria;paula;Acanthemblemaria paula;sed;day;sol;bottom;23,56;26,5;30,36;1,8;s1;elongated;NA;NA;truncated;subterminal;3;pk;demersal;1;2;1;0,007705413;2,962;genus;18,7;genus;NA;1;native;16,43;27;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;dd;10;not_targeted
16486;actinopterygii;perciformes;chaenopsidae;acanthemblemaria;spinosa;Acanthemblemaria spinosa;sed;day;sol;bottom;25,34;27,36;29,53;3,1;s1;elongated;NA;NA;rounded;subterminal;3,2;pk;demersal;1;12;11;0,007705413;2,962;genus;21;genus;4;24;native;10,53;27;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;lc;21,66;not_targeted
46725;actinopterygii;perciformes;chaenopsidae;acanthemblemaria;stephensi;Acanthemblemaria stephensi;sed;day;sol;bottom;26;26,03;27;5;s1;elongated;NA;NA;rounded;terminal;3,4;pk;demersal;1;10;9;0,007705413;2,962;genus;40,8;genus;NA;1;native;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;vu;10;not_targeted
351;actinopterygii;perciformes;serranidae;acanthistius;brasilianus;Acanthistius brasilianus;sed;day;sol;bottom;16,71;20,26;24,01;60;s5;fusiform;1,052929;2;rounded;terminal;4;im;pelagic;15;60;45;0,001417552;3,548062049;genus;20,2;;NA;17;native;-42;-20,45;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;3;1;0;dd;51,88;high
50141;actinopterygii;perciformes;serranidae;acanthistius;patachonicus;Acanthistius patachonicus;sed;day;sol;bottom;21,46;23,79;26,45;31;s4;fusiform;0,906649;1;rounded;terminal;4;im;pelagic;0;30;30;0,001417552;3,548062049;genus;93,3;;NA;22;native;-42;-5,95;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;3;1;0;ne;41,36;very high
57960;actinopterygii;perciformes;serranidae;acanthistius;pictus;Acanthistius pictus;vmob;night;sol;bottom;14,62;17,08;20,41;47;s4;fusiform;1,54767;1;rounded;terminal;4,2;fc;pelagic;10;50;40;0,001417552;3,548062049;genus;93;;NA;11;native;-30;-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;lc;39,1;very high
7920;actinopterygii;perciformes;serranidae;acanthistius;sebastoides;Acanthistius sebastoides;mob;day;sol;bottom;13;15,35;18,05;35;s4;fusiform;1,86633;1;rounded;terminal;4;fc;pelagic;1;30;29;0,001417552;3,548062049;genus;18;;NA;18;native;-22,9;-22,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;lc;34,24;very high
89;actinopterygii;perciformes;scombridae;acanthocybium;solandri;Acanthocybium solandri;vmob;day;smallg;high;22,01;24,65;27,58;250;s6;elongated;5,61927;1;forked;terminal;4,3;fc;pelagic;0;20;20;0,00327;3,181;species;75;;9,3;170;native;-30;42,73;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;1;0;0;0;0;10;1;1;lc;46,16;very high
7633;actinopterygii;perciformes;labridae;acantholabrus;palloni;Acantholabrus palloni;mob;day;sol;low;15,11;19,07;23,68;25;s3;fusiform;1,53176;1;truncated;terminal;3,5;im;pelagic;30;500;470;0,0144872;3;family;39,2;;NA;66;native;0,19;51;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;5;1;0;lc;31,66;very high
23363;actinopterygii;tetraodontiformes;ostraciidae;acanthostracion;guineensis;Acanthostracion guineensis;mob;day;sol;low;25,5;27;28,88;18;s3;box_shaped;1,73893;1;rounded;terminal;2,6;is;pelagic;0;200;200;0,006457845;3,167604278;family;29;;NA;9;native;0,19;9,16;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;lc;10;high
23370;actinopterygii;tetraodontiformes;ostraciidae;acanthostracion;notacanthus;Acanthostracion notacanthus;mob;day;sol;low;19,8;22,02;25,39;50;s4;box_shaped;NA;NA;rounded;subterminal;2,4;is;pelagic;3;25;22;0,006457845;3,167604278;family;39,85;;NA;9;native;-15,97;38,2;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;3;1;0;dd;27,83;high
4287;actinopterygii;tetraodontiformes;ostraciidae;acanthostracion;polygonius;Acanthostracion polygonius;mob;day;sol;low;22,91;25,64;28,52;50;s4;box_shaped;0,375069;1;rounded;subterminal;2;is;pelagic;3;80;77;0,006457845;3,167604278;family;32,3;;NA;56;native;-35,3;34,7;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;5;1;0;lc;25,58;high
92;actinopterygii;tetraodontiformes;ostraciidae;acanthostracion;quadricornis;Acanthostracion quadricornis;mob;day;sol;bottom;23,02;25,75;28,68;55;s5;box_shaped;1,36959;1;rounded;subterminal;2,7;im;pelagic;1;80;79;0,006457845;3,167604278;family;36,6;;NA;62;native;-27,6;38,2;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;5;1;0;lc;31,74;high
4306;actinopterygii;perciformes;acanthuridae;acanthurus;achilles;Acanthurus achilles;mob;day;medg;low;27;28;29;24;s3;compressed;2,32592;3;truncated;terminal;2;hd;pelagic;0;10;10;0,002453226;3;species;16,7;genus;NA;104;native;10,3;10,3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;lc;24,17;medium
942;actinopterygii;perciformes;acanthuridae;acanthurus;bahianus;Acanthurus bahianus;mob;day;medg;low;21,94;24,56;27,53;38,1;s4;compressed;2,43;1;truncated;terminal;2;hd;pelagic;2;40;38;0,0191;3,08;species;69,3;species;31;54;native;-27,6;34,7;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;4;1;0;lc;17,97;not_targeted
943;actinopterygii;perciformes;acanthuridae;acanthurus;chirurgus;Acanthurus chirurgus;mob;day;medg;low;23,3;25,94;28,82;39;s4;compressed;1,867165;2;truncated;terminal;2;hd;pelagic;2;25;23;0,0225;3;species;33,7;species;12;60;native;-27,6;34,7;0;0;0;1;0;0;0;1;1;1;1;1;1;1;0;0;0;1;0;0;9;1;1;lc;22,98;medium
944;actinopterygii;perciformes;acanthuridae;acanthurus;coeruleus;Acanthurus coeruleus;mob;day;medg;low;23,56;26,11;28,85;39;s4;compressed;3,48929;1;truncated;terminal;2;hd;pelagic;2;40;38;0,0286;3;species;18;species;23;53;native;-24,98;34,7;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;6;1;0;lc;58,55;medium
4736;actinopterygii;perciformes;acanthuridae;acanthurus;guttatus;Acanthurus guttatus;mob;day;largeg;low;27;28;29;26;s3;compressed;2,291553333;3;truncated;terminal;2;hd;pelagic;1;6;5;0,005373761;3;species;57,6;genus;NA;205;native;10,3;10,3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;lc;25,02;medium
